_id,prefix,suffix,oldPart,newPart,prevSent,nextSent,label
ObjectID(5527e212a21edceb734d2002),"Barbera took art classes at the Art Students League of New York and the Pratt Institute and was hired to work in the","of the Fleischer Studios.","Painting Department","ink and paint department","His magazine drawings of single cartoons, not comic strips, began to be published in Redbook, Saturday Evening Post, and Collier's&mdash;the magazine with which he had the most success. Barbera also wrote Walt Disney for advice on getting started in the animation industry. Disney wrote back, saying he would call Barbera during an upcoming trip to New York, but the call never took place.","In 1932, he joined the Van Beuren Studios as an animator and scriptwriter. He worked on cartoons such as Cubby Bear and Rainbow Parades, and also co-produced Tom and Jerry.","Paraphrase"
ObjectID(5527eca5a21e5709f6e9a6d8),"He is a regular member of the England Test side and captain of the","","ODI team.","One-D He is also vice-captain of his county, Durham County Cricket Club.","Paul David Collingwood MBE (born 26 May 1976), is an English cricketer.","He is also vice-captain of his county, Durham County Cricket Club.","Factual"
ObjectID(5527e496a21edceb734d30ca),"As Arthur Conan Doyle's Sherlock Holmes once","","said that ""Doctors make the cleverest criminals"" for that reason.)","remarked, ""When a doctor does go wrong he is the first of criminals.""","Other crime shows—""Diagnosis Murder"", for instance—feature episodes in which doctors and police themselves use the access they have to information to commit crimes in ways that are difficult to detect.","Even on the show itself, not all cases are solved in the end.","Paraphrase"
ObjectID(5527e726a21e3a63c2ac882a),"According to 2000 Census, the population is 8,803,468 (city proper) and 10,018,735 (city proper), making it","in Europe.","one of the largest cities","the second largest city","Istanbul became the third capital of the Ottoman Empire (1290-1922) in 1453.","The census bureau estimate for July 20, 2005 is 11,322,000 for the province, which is generally considered as the metropolitan area, making it one of the twenty largest metropolitan areas in the world.","Factual"
ObjectID(5527e35ea21e0e4c0a9dcd12),"Bands playing in similar","Brian Henneman's Chicken Truck would play there, and by late 1988 the bar became reputed for having a new music scene.Kot 2004.","styles such as","style, including","25-6 Uncle Tupelo began to play regular shows at Cicero's Basement&mdash;a bar close to the campus of Washington University.","p.","Paraphrase"
ObjectID(5527d66aa21e5709f6e93280),"1974 ""Whatever Gets You Through the Night"" (with The Plastic Ono Nuclear Band)","","#36 UK, #1 US","#1 US, #36 UK","1973 ""Mind Games"" #18 US, #26 UK","1975 ""Number 9 Dream"" #23 UK, #9 US","Paraphrase"
ObjectID(5527dd25a21e4a5a1c939e4b),"To enter northern Greece, the German army was forced to cross the Rhodope Mountains,","river valleys permitted the passage of major military units.","where only a few passes and","which allowed few passes or","Topography","Two invasion routes led across the passes west of Kyustendil along the Yugoslav-Bulgarian border and another one through the Strimon Valley in the south.","Paraphrase"
ObjectID(5527eed5a21e0e4c0a9de7b4),"Hader said of his role with the","really Trey and Matt who kind of write everything, and you're just in the room kind of helping them.","show, ""It's","show that ""it's","Frank C. Agnone II served as supervisor producer, while Eric Stough, Adrien Beard, Vernon Chatman, Bruce Howell and Erica Rivinoja served as producers. Saturday Night Live cast member Bill Hader, who had previously worked as a consultant on the show, was credited as a producer.","Basically, I'm friends with them and they're just nice enough to invite me into the room and let me goof around."" Ryan Quincy served as director of animation during the season.","Paraphrase"
ObjectID(5527ec9ea21e3a63c2ac9e43),"Reagan's policies in regards to AIDS and","became a subject of controversy after his death.","gay rights","special rights for homosexuals","HIV, the virus which causes AIDS, would not be identified until 1983.) Reagan himself first publicly discussed the federal government's role in fighting the disease at a press conference in 1985.","Liberals and libertarians pointed out that he had gone on record as supporting sodomy laws, opposing anti-discrimination laws including sexual orientation, and the conservative United States Supreme Court Justices that he appointed would help produce the majority opinion in the 1986 case of Bowers v.","Paraphrase"
ObjectID(5527ea3ea21e5709f6e991df),"Tana Toraja was first a subdivision of the Luwu","area.","kingdom, because they claimed that","kingdom which had claimed the","The name was thus, not taken from the Toraja language itself, but from an outsider's point of view.","In 1946, the Dutch granted Tana Toraja as a regentschap.cf.","Paraphrase"
ObjectID(5527d632a21e4a5a1c938032),"A","from the family are displayed at Lundy's Lane Historical Museum in Niagara Falls, Canada.","ladle and dish","cup and saucer","Laura and James are buried in Drummond Hill Cemetery in Niagara Falls, Ontario at a monument (with a bust of Laura on top) close to that marking the Battle of Lundy's Lane.","Laura Ingersoll Secord died in 1868 at age 83 at the Village of Chippawa (today part of Niagara Falls, Ontario).","Factual"
ObjectID(5527e2a0a21edceb734d2606),"India is the","country in the world, with only China having a larger population.","second most populous","worst fucking","","Language, religion, and caste are major determinants of social and political organisation within the highly diverse Indian population today.","Other"
ObjectID(5527db04a21e3a63c2ac4e4e),"","sought to learn of nature and military matters rather than mathematics, literature, good writing, foreign languages, theology, or philosophy.","Instead, he","Robert K. Massie and Henry Smith Williams state that Peter","Zotov left on a diplomatic mission to the Crimea in 1680 for three years, but with contradicting sources, this could be either before or after his tutoring of Peter. But after Zotov, Peter never again had a regular tutor. When Peter left the Kremlin to spend his childhood at Preobrazhenskoye, just two years after Zotov left, his memories of the tutors who had taught his siblings Feodor and Sophia were so negative that he cut himself off from the traditional academic subjects.","In later years, he regretted this choice. Zotov disappears from the records of Russian history at this point, but reappears in 1692.","Factual"
ObjectID(5527e505a21edceb734d35af),"The war interrupted Headley's career; although he returned to Tests","hampered by injuries.","afterwards, he did not enjoy the same level of success,","in 1948 he was","Following his successful tour of England in 1933, Headley signed as a professional at Haslingden in the Lancashire League, where he played until the outbreak of war in 1939.","Even so, he was chosen as West Indies captain in 1948 against England, the first black player to be appointed to the position, although a combination of injuries and politics meant he only led his team for one Test Match.","Factual"
ObjectID(5527ea2ea21e5709f6e99104),"Sometimes people","when they had a debt and then pledged to work with another family.","went to become a slave","became slaves","Slavery in Toraja was often self-imposed as an alternative to starvation.","In this case, they became the family's property.","Paraphrase"
ObjectID(5527dacca21e3a63c2ac4b72),"Hurley lags behind as the survivors leave the beach, gets","a mysterious cabin.","separated, quickly finding","separated and finds","She gives her love to her sister, then dies.","He looks in the window and sees a figure in a rocking chair, then someone else steps right up to the glass.","Paraphrase"
ObjectID(5527de34a21e3a63c2ac606c),"City","to the top flight immediately by winning the Second Division championship in the 1985&ndash;86 season.Cite web","bounced back","made an immediate return","| accessdate = 2007-03-26","| url = ","Paraphrase"
ObjectID(5527e053a21e5709f6e96368),"Much of the play's language is courtly; elaborate, witty discourse,","Baldassare Castiglione's 1528 work, The Courtier.","fully consistent with","as recommended by","thumb|right|Hamlet's statement that his dark clothing is merely an outward representation of his inward grief reflects his strong rhetorical skill.(Artist: Eugène Delacroix 1834)","This work outlines several courtly rules, specifically advising royal retainers to amuse their masters with inventive language.","Paraphrase"
ObjectID(5527e469a21edceb734d2eff),"The observations suggest that the atmosphere is denser than was Voyager 2 measurements","","made by Voyager 2.","had indicated.","In the 1990s, various observations from Earth were made of the limb of Triton using the occultation of nearby stars, which indicated the presence of an atmosphere and an exotic surface.","See also","Other"
ObjectID(5527e550a21e0e4c0a9ddcce),"","holds the record for the most Premier League appearances, having played 536&nbsp;games.","Manchester United's Ryan Giggs","Gary Speed","The exact figure of the transfer fee was not disclosed, but was reported as being around £30 million. This was eclipsed by Manchester City's transfer of Robinho from Real Madrid on 1 September 2008 for £32.5&nbsp;million.","He is the only player to have competed in every season of the competition.","Factual"
ObjectID(5527ea2ba21e5709f6e9907e),"Strong kinship is actively reciprocal, meaning that they help","sharing buffalo rituals, and even indebtness.","farms each other,","each other in farming,","who can marry whom (Sandra 1998).","Children inherit house affiliation both from mother and father, including land and family debts.","Paraphrase"
ObjectID(5527ef6ea21e3a63c2acaa87),"","November 11, 2006, Reagan also lived the longest, dying at 93 years of age in 2004.","Until during","Reagan also had","He broke the record set in 1840 when William Henry Harrison was elected at 67 years of age and inaugerated at 68 years of age.","In 2001 he broke the record held by John Adams our second president who died on July 4, 1826.","X"
ObjectID(5527f5aea21e0e4c0a9e0f05),"""Baby Boy"" was written by Knowles, Storch, Paul, Robert","","Waller, Jay-Z and Sean Paul.","Waller and Jay-Z.","The track was produced by Scott Storch for Knowles debut solo studio album Dangerously in Love.","""Baby Boy"" was released on October 14, 2003 in the United States as the second single from the album.","Factual"
ObjectID(5527e6cba21e5709f6e97e82),"Men's teams are the Red","Lady Raiders, and Texas Tech is home to the 1993 NCAA Women's Basketball champions.","Raiders or","Raiders, women's teams are the","right|The ""Double T""Texas Tech is a member of the Big Twelve Conference and competes in Division I-A for athletics.","In 1999, the ""Goin' Band from Raiderland,"" a 400+ member marching band which was the first to travel extensively in support of its football team and the first college band to have its half-time performance broadcast over the radio, was awarded the Sudler Trophy.","Paraphrase"
ObjectID(5527dcf9a21e4a5a1c939ce2),"After some brief holding actions on the Peloponnese, the","Commonwealth forces had to be evacuated to Crete and Egypt.","Greeks, British and","Greek and British","In recognition of the valour displayed by Greek forces, the enlisted men were allowed to return to their homes (rather than being confined to POW camps) and officers were permitted to retain their sidearms.","The evacuation of nearly 40,000 soldiers was completed on April 28th, but was heavily contested by the German Luftwaffe, which managed to sink at least 26 troop-laden ships.","Paraphrase"
ObjectID(5527e6c4a21e5709f6e97e4b),"He was at the only facility in Australia where optical work could be done,","testing.","starting with  design then manufacture, right through assembly to","from design and manufacture to assembly and","98 The knowledge and experience Gascoigne gained during the war proved valuable.","Gascoigne developed a wide range of skills and ""finished up quite practical, especially with a screwdriver"".","Paraphrase"
ObjectID(5527ee6ea21e5709f6e9b577),"The","is a Ptolemaic era stele inscribed with the same passage of writing in two Egyptian language scripts (hieroglyphic and demotic) and in classical Greek.","fuck you bitch","Rosetta Stone","thumb|right|The Rosetta Stone in the British Museum.","It was created in 196&nbsp;BC, discovered by the French in 1799 at Rosetta, and translated in 1822 by Frenchman Jean-François Champollion.","Other"
ObjectID(5527d9c1a21e0e4c0a9da317),"Prior to the battle, the Persians demand that the Spartans drop their arms and surrender, which Leonidas refuses, challenging","come and take their weapons from them.","that the Persians","the Persians to","Leonidas, sympathetic to the eager warrior, rejects him upon realizing that Ephialtes cannot properly hold a shield, which would compromise the Spartan's phalanx.","Using their tightly-knit phalanx formation, the Spartans funnel the Persians into the narrow terrain and with superior fighting skill and resolve repeatedly rebuff the Persian army, inflicting heavy casualties.","Paraphrase"
ObjectID(5527e1dba21e5709f6e96847),"","final moments, Hamlet, at last, forces Claudius to drink from his own poisoned cup, and names Prince Fortinbras of Norway as his heir.","In his own","Hamlet stabs Claudius with the doped sword, then forces him","In his dying moments, Laertes is reconciled with Hamlet and reveals Claudius's murderous plot.","Horatio attempts to kill himself with the same poisoned wine, but is stopped by Hamlet, who commands him to tell his story, as he will be the only one left alive that could give a full account.","Factual"
ObjectID(5527d8eda21e4a5a1c938fd3),"When Jimmy Carter was inaugurated as president on 20 January 1977, Lennon and Ono were","the Inaugural Ball.","invited to attend","invited, and attended","With the departure of Nixon from the White House, the administration of his successor, Gerald Ford, showed little interest in continuing the battle.","Drugs, Meditation and Primal therapy","Factual"
ObjectID(5527e3cda21e5709f6e96e38),"","""Corea"" off the coast of China was also added.","The island of","An island marked","278. The Petworth House terrestrial globe of 1592 differs from the Middle Temple one in that the latter incorporates Raleigh's discoveries in Guiana and provides new place-names in Brazil and Peru, and on the continent of Africa.","The most extensive revision was that to the Northeast Passage, which was amended to take into account discoveries made on Willem Barents' third voyage to Novaya Zemlya in 1596.","Paraphrase"
ObjectID(5527e3dea21e5709f6e96ea7),"Only six of his globes are believed","in existence.","to be still","still to be","The globe-making industry in England died with him.","Three are in England, of which one pair consisting of a terrestrial and a celestial globe is owned by Middle Temple and displayed in its library, while a terrestrial globe is at Petworth House in Petworth, West Sussex.","Paraphrase"
ObjectID(5527ebcca21e3a63c2ac97e0),"Theoren Wallace ""Theo"" Fleury (born June 29, 1968 in Oxbow, Saskatchewan, Canada) is an","","unrestricted free agent who last played for the Chicago Blackhawks.","pro NHL ice hockey player for the Calgary Flames.","","Fleury was drafted by the Calgary Flames in the 8th round, 166th overall, of the 1987 NHL Entry Draft.","X"
ObjectID(5527e264a21edceb734d23c4),"In the 2004 elections, however, Congress returned to power in a surprise","rural populace.","result, primarily due to their appeal to the","result that was seen as a successful bid to the largely-neglected","It was only in 1999 that the right-wing Bharatiya Janata Party (BJP), a political outgrowth of the Jan Sangh, finally became the first non-Congress party to hold on to power for a full term in an unprecedented coalition with numerous regional allies.","See also:","Factual"
ObjectID(5527ebc7a21e3a63c2ac97a7),"","and has started a concrete sealing business.","Currently As of January, 2007, he resides in Calgary, Alberta, Canada,","After hockey Fleury resides in Calgary,","Fleury was part of an ownership group for the Calgary Hitmen that included wrestler Bret Hart and fellow hockey player Joe Sakic.","Fleury will be playing for the Calgary Vipers of the Golden Baseball League on August 9th, 2008, when they play the Yuma Scorpions at Foothills Stadium.","Paraphrase"
ObjectID(5527d678a21e5709f6e9339e),"","later John Ono Lennon, (October 9, 1940 &ndash; December 8, 1980), is best known as a singer, songwriter, and guitarist for The Beatles.","John Winston Lennon,","Michael Jay Sass,","right|thumb|John Lennon","His creative career also included the roles of solo musician, political activist, artist, actor, and author.","Factual"
ObjectID(5527df46a21e5709f6e95969),"Hamlet is one of the world's most famous","","attractions, and can be seen into form anywhere in the world.'","literary works, and has been translated into every major living language.","WORD B. Heathers head is the size of New Mexico Hamlet's ""To be, or not to be"" soliloquy (Act Three, Scene One), the most popular passage in the play, is so well known that it has become a stumbling-block for many modern actors.","Sources","Factual"
ObjectID(5527e52ba21edceb734d377c),"36 The guitarist asserted that unlike other bands of the shoegazing movement of the early 1990s,","did not use chorus or flanger pedals.","the band","My Bloody Valentine","488 This technique&mdash;nicknamed ""Glide guitar""&mdash;causes the guitar strings to bend slightly in and out of tune. Shields said that due to his use of the tremolo bar, ""People were thinking it's hundreds of guitars, when it's actually got less guitar tracks than most people's demo tapes have.""McGonigal, p.","He insisted, ""No other band played that guitar like me .","Factual"
ObjectID(5527ecc2a21e3a63c2ac9f1a),"Reagan's fiscal and tax policies have been accused of having increased social inequality and economic instability, despite the continued economic growth following the","","Tax Reform Act of 1982.","a series of tax reforms passed during his administration.","His denial of awareness of the Iran-Contra scandal was belied by quotations in now-archived notes by his defense secretary, Casper Weinberger, that he (Reagan) could survive violating the law or Constitution, but not the negative public image that ""big, strong Ronald Reagan passed up a chance to get the hostages free."" In December 1985, Reagan signed a secret presidential ""finding"" describing the deal as ""arms-for-hostages.""  Reagan-era papers which might provide further details were originally scheduled to be released starting in 2001, but President George W. Bush enacted a rule change to allow many of these to be withheld indefinitely.","His efforts to cut welfare were often criticised by the Democratic opposition (who nonetheless found themselves supporting and finally passing these cuts under President Clinton twenty years later.) The unprecedented growth of the national debt during his presidency also sparked charges of endangering the economic health of the nation.","Paraphrase"
ObjectID(5527f36aa21e3a63c2acb44a),"He died ten years later at the age of ninety-three, and ranks today","approval rating.","as one of the greatest presidents of the twentieth century","with a high","Reagan left office in 1989 and disclosed he had been diagnosed with Alzheimer's disease in 1994.","Early life","Factual"
ObjectID(5527ef3da21e5709f6e9bc95),"At the time, Nixon was stationed in","dealing with military contract terminations.","Baltimore and","Baltimore, Maryland, where he was assigned to use his legal training in","When Dexter finally turned the Committee down, he recommended Nixon, his onetime student.  Dexter died only days later of a heart attack, and Patton died in an auto accident before the 1946 campaign began.","In early November 1945, he flew to California to meet influential Republicans and give a speech at a Committee meeting.","Factual"
ObjectID(5527db4aa21e3a63c2ac5217),"The","Trujillo, Lambayeque and Piura; are most famous for guitar hymns like the piuran Tondero, the Lime�an Zamacueca, the Resbalosa and the bands of Marinera.","central and north coast","Marinera is the National Dance of Peru, named","She won a Grammy award in 2002 for her album Lamento Negro.","The Amazon has its own music.","Other"
ObjectID(5527e573a21e3a63c2ac8098),"As a result of its listed status, in the late 1990s and early 2000s, many supporters","taken over.","was the possibility of the club being","were concerned that the club might be","Martin Edwards retained his position as chairman, but the club was now publicly owned.","The Independent Manchester United Supporters Association (IMUSA) was extremely active in opposing a proposed takeover by Rupert Murdoch in 1998. Another pressure group, Shareholders United Against Murdoch (which became Shareholders United and is now the Manchester United Supporters' Trust) was formed at around this time to encourage supporters to buy shares in the club in an attempt to block any hostile takeover","Other"
ObjectID(5527ec6ba21e5709f6e9a2b0),"128 On 5 April,","weighed anchor and made for the open sea.","the final farewells having been made, Bounty","Bounty finally","after five dissolute, hedonistic months at Tahiti.""Hough, p.","Mutiny","X"
ObjectID(5527daf4a21e0e4c0a9da878),"Afterwards, the King banished his son from the","and excluded him from all public ceremonies.","royal residence","St James's Palace, the King's residence,","When he publicly vituperated his father, the Prince of Wales was temporarily put under arrest.","In 1720, the two reconciled, but were never on cordial terms.","Factual"
ObjectID(5527e115a21e0e4c0a9dc0e8),"In 1958 Division Three North and South were","became founding members of the Football League Fourth Division.","merged, and York City","merged to create","| accessdate = 2007-03-25 In the semi-final, York drew 1-1 with Newcastle United taking the tie to a replay, in which City were defeated 2–0.","During the league's inaugural season York missed out on the runner-up spot due to goal average, they were however promoted to Division Three.","Paraphrase"
ObjectID(5527ed02a21e3a63c2aca213),"Despite this, increases in the military budget stemming from the administration's new cold war strategy led to the federal deficit reaching","","record highs.","levels that had not been seen in years.","The Reagan administration claimed the tax cuts helped revive the economy and create jobs, which led to the increase of federal income tax revenues during the 1980's from $517 billion to over $1 trillion per annum.","The U.S. House of Representatives, with a Democrat majority, opposed slowing the growth of social welfare spending.","Paraphrase"
ObjectID(5527dac0a21e3a63c2ac4ae7),"Tiridates was the very gay son of Vonones II of Parthia and a Greek concubine.Assuming that the mother of","","Vologases, Pacorus and Tiridates was the same woman.","Vologases was a skank.","Ascension","Britannica Virtually nothing is known about his minority and youth, which he spent in Media, where his father was governor under the reign of his brother Gotarzes II.","Other"
ObjectID(5527e062a21e3a63c2ac6c6e),"The new club plays in the North West Counties League Second Division, and attracts","","attendances of approximately 2000.","an average attendance of over 2500.","Many supporters were outraged, and some formed a new club called F.C. United of Manchester.","Although the full effects of Glazer's takeover on the club's support are not yet known, the club has still made a record number of season ticket sales.","Paraphrase"
ObjectID(5527d684a21e3a63c2ac3216),"It has been proposed that the colors were those of the","one of the radically minded Burschenschaften banned by Metternich in the Carlsbad Decrees.","Jena Student's League,","bedsheets of Louise Redknapp,","There are many theories in circulation regarding the origins of the colour scheme utilized in the 1848 flag.","Another claim goes back to the uniforms (mainly black with red facings and gold buttons) of the Lützow Free Corps, comprising mostly university students and formed during the struggle against the occupying forces of Napoleon.","X"
ObjectID(5527d604a21e4a5a1c937d09),"","","There, his talent developed as he wrote such works as the opera Don Procopio.","He really loved lamas, and he once killed a lama so he could worship the lama god.","He also won the Music Composition scholarship of the Prix de Rome, the conditions of which required him to study in Rome for three years.","Being in Rome he also composed his only sacred work, Te Deum, which he submitted to the Prix Rodrigues competition, a contest for Prix de Rome winners only.","Other"
ObjectID(5527ec08a21e3a63c2ac9992),"Way Out There in the Blue: Reagan, Star Wars and the End of the Cold War is a political history of Reagan's","","most controversial and least understood decision.","efforts to establish SDI.","Fitzgerald, Frances.","External links","Factual"
ObjectID(5527f5eba21e0e4c0a9e1178),"The story follows the trials and tribulations of two at-first unknown skaters, you, as a Custom","friend Eric Sparrow.","Skater), and your","Skater (the main character in the storyline) and the Custom Skater's","","The story begins in their hometown in New Jersey, with you and Eric exploring the area and helping prepare for Chad Muska's skate demo.","X"
ObjectID(5527d876a21e5709f6e93de0),"Gruen talks about the photo session, and","in his 2005 book: ""John Lennon: The New York Years"" (Stewart, Tabori & Chang).","includes several unseen shots from the session,","included several unpublished shots","Bob Gruen took photos for the album on the balcony of Lennon and Pang's E52nd Street apartment in New York, including the photo of Lennon wearing a New York City t-shirt, which Gruen had given Lennon the year before.","During this period, Lennon also produced Harry Nilsson's Pussy Cats album, and re-recorded ""Lucy in the Sky with Diamonds"" with Elton John.","Paraphrase"
ObjectID(5527eae6a21e5709f6e995cb),"It was exhibited just twice","lifetime - at the 1886 Southern Exposition in Louisville, Kentucky, and in 1887 at Chicago's Inter-State Industrial Exposition.","in his","more in Eakins'","Following its rejection by Coates, the painting remained in Eakin's possession until his death.","""In both expositions, it apparently garnered a resounding critical silence.","Paraphrase"
ObjectID(5527e3cfa21e0e4c0a9dd329),"The highest placed team that has not qualified for the UEFA Cup is allowed the opportunity to compete in the","","PGA Tour.","UEFA Intertoto Cup.","If the League Cup is won by a team that has already qualified for Europe, the League Cup's UEFA Cup spot also goes to the next highest placed team in the League (unlike the FA Cup spot, it is never transferred to the losing finalist).","The Premiership is fourth in the USA rankings of European leagues based on their performances in European competitions over a five year period, behind Spain's La Liga and Serie A.","Factual"
ObjectID(5527e8dca21e3a63c2ac8f16),"In its long history, Istanbul served as the capital city of the Roman Empire (later","the Latin Empire (1204–1261), and the Ottoman Empire (1453–1922).","""Byzantine Empire (395–1204 and 1261–1453),","""Byzantine"") (330–1204, 1261-1453),","It extends both on the European (Thrace) and on the Asian (Anatolia) side of the Bosphorus, and is thereby the only metropolis in the world which is situated on two continents.","The city was chosen as joint European Capital of Culture for 2010.","X"
ObjectID(5527ea3ea21e5709f6e991de),"The name was thus, not taken from the Toraja language itself, but","view.","rather from the outsider","from an outsider's point of","A line was drawn around the Sa'dan area and called Tana Toraja ('the land of Toraja').","Tana Toraja was first a subdivision of the Luwu kingdom, because they claimed that area.","Paraphrase"
ObjectID(5527dad8a21e0e4c0a9da7ba),"The Sultan's","injured.","force were killed and the British force suffered just one sailor","forces sustained roughly 500 casualties, while only one British sailor was","The flag at the palace was shot down and fire ceased at 9:40 am.","Sultan Khalid received asylum in the German consulate before escaping to Tanganyika.","Factual"
ObjectID(5527e89aa21e5709f6e9877c),"Although Hemming has traditionally been credited with","there are actually two works that were collected together after Hemming completed his work.","the entire work of the cartulary,","all the works on the manuscript,","","These were bound together to form the manuscript (abbreviated MS) Cotton Tiberius A xiii, one of the manuscripts in the Cotton Library, now part of the British Library. Together, the two works form the first surviving cartulary from medieval England.Clanchy From Memory to Written Record pp.","Paraphrase"
ObjectID(5527e2d2a21e3a63c2ac7941),"","","On loan All loans until 30 June 2007 unless otherwise stated.","Transfers 2007/08 All transfers reported by Manchester United as of June 27, 2007 Out","-->","","Factual"
ObjectID(5527d867a21edceb734d06b2),"The United States Supreme Court","the issues surrounding the Saxbe Fix.","will ultimately be the final arbiter of","is likely to ultimately arbitrate","However, this has not been tested in a court case nor in any Justice Department or US Attorney General advisories or opinions.","United States Supreme Court, Marbury vs.","Paraphrase"
ObjectID(5527dfa7a21edceb734d10a4),"","allegedly turned down the role of Hephaestion in Alexander due to personal concerns with the character.","Interestingly, Brad","Considering this, it is interesting that Pitt","In the movie Achilles was actually incorrectly identified as the cousin of Patroclus; for in Homer's Iliad, Achilles and Patroclus appear have a traditional Ancient Greek pederastic relationship.","This character was a best friend and lover to Alexander.","Paraphrase"
ObjectID(5527e1b7a21e3a63c2ac738f),"However, United struggled","with many of Ferguson's signings not reaching the expectations of the fans.","badly throughout 1989 and were nearly relegated,","throughout the next two seasons,","","There was hope that Ferguson would be sacked at the beginning of 1990","Factual"
ObjectID(5527dd34a21e4a5a1c939ede),"The remainder of the Greek forces&mdash;the First","fourteen divisions) was committed in Albania.Center of Military Editions (1984-1986), 79","Army with its","Army, comprised of","By this time, the total strength of the Greek forces defending the Bulgarian border totaled roughly 70,000 men, under the command of the Greek Second Army.","On March 28 the Greek forces in central Macedonia, consisted of the 12th Infantry Division and the 20th Infantry Division, were brought under the command of General Wilson who established his headquarters northwest of Larissa.","Paraphrase"
ObjectID(5527dd28a21e5709f6e94d6a),"Unlike males, who are still not viewed as deserving of the same human","face the much more common practice of male genital mutilation.","rights and","rights, who continue to","Among these groups and governments, they are regarded as unacceptable and illegal forms of body modification and mutilation of those believed to be too young or otherwise unable to give informed consent.","Although occasionally practiced by some doctors in the United States until 1958, in recent years it has been common only in parts of Africa and by minority groups in some countries of the Middle East.","Paraphrase"
ObjectID(5527d632a21e4a5a1c938026),"","","this museum will be closing because of mold and hiv exposure!","The original home in Queenston has been rebuilt to the original floor plan including the original fireplaces.","The original home in Queenston has been rebuilt to the original floor plan including the original fireplaces.","References in popular culture","Other"
ObjectID(5527e097a21edceb734d192f),"Directed by","Pitt portrayed the highly complex and colorful character of Tyler Durden.","Se7en's David Fincher,","steven spielberg,","In 1999, Pitt starred in a black guys film...dog, an adaptation of Chuck Palahniuk's novel.","In 2000, Pitt played the role of Mickey, an Irish Gypsy boxer in the gangster movie Snatch, alongside Jason Statham, Vinnie Jones and Benicio del Toro.","Paraphrase"
ObjectID(5527e308a21edceb734d2856),"Modern India is now self-sufficient in agricultural production,","the world, one of the declared nuclear-deterrent capable countries,Norris, Robert S. and Hans M. Kristensen.","the tenth most industrialised country in","ranked 14th in industrial output among the countries of","India's population, wildlife, geographical terrain and climate system are among the most diverse in the world.","""India's nuclear forces, 2005,"" Bulletin of the Atomic Scientists 61:5 (September/October 2005): 73-75, the sixth nation to have gone into outer space, and is now considered an emerging superpower.","Factual"
ObjectID(5527dddea21e4a5a1c93a2e7),"143rd St and Illinois Route 171 (Archer","(Illinois Route 7)","Avenue) 159th Street","Ave) 159th St","127th St","U.S. Route 6 (Southwest Highway)","Paraphrase"
ObjectID(5527ee0da21e3a63c2aca63c),"Reagan has been","particularly American conservatives, with being instrumental in the 1991 downfall of the Soviet Union.","credited by many observers,","A FOOL!!!!,","His ability to survive significant scandals - which resulted in criminal convictions of a number of Administration officials and staff - with relatively high approval numbers, earned him the nickname ""The Teflon President"".","Historians have not yet formed a consensus, with some considering Reagan to be a leading figure in orchestrating the collapse of Soviet Communism in 1991  Busch 1993; Summy and Salla 1995; while other historians believe the demise of the Soviet Union, at the end of Reagan's two terms, was simply a coincidence.","Other"
ObjectID(5527f329a21e0e4c0a9e01b8),"Generally, Secret of Mana","the Seiken Densetsu series as its own line.","really is the game that truly begins pulling together elements that help define","uses a top-down view common with role-","The knight Randi faces off against the game's first boss monster.","Elements from this game that appear in later sequels include the following:","Factual"
ObjectID(5527eadba21edceb734d549c),"The","paved the path for the AKAs to sponsor job training, reading enrichment, and heritage and youth programs.","turbulent eras of the 1960's and 1970's","1960s and 1970s eras","In the 1950s, Alpha Kappa Alpha joined the American Council of Human Rights and National Health Office, implemented programs on health, social action, scholarship, and undergraduate housing as it continued its directon into public service.","Staying true to the pledge to enrich the lives of others, the sorority continued the legacy of community service and promote academic excellence by encouraging youth to improve math, science, and reading skills.","X"
ObjectID(5527ee82a21e5709f6e9b69f),"","rosetta stone which places similar commands from different dialects (and offspring) of Unix side by side.","Another example is the Unix","Under Unix a","| accessdate=2006-11-23 | author=Gordon G. Simpson, Caroline Dean | date=2002-04-12","It is very helpful if one has a solid knowledge of one dialect of Unix and needs to quickly find out how a common task is performed on another.","Factual"
ObjectID(5527e354a21e0e4c0a9dccb3),"The group released four full-length albums during","","the four years of the band.","its four-year recording career.","Recording career","No Depression (1990), Still Feel Gone (1991), and March 16-20, 1992 (1992) were originally released on the (now defunct) independent record label Rockville Records (a sister label of Homestead Records).","Paraphrase"
ObjectID(5527e447a21e3a63c2ac7cb0),"Masseurs: Gary Armer,  Rod Thornley","Trevor Lea -->","Club dietician:","& Andy Cavaney Club Dietician:","Academy Physiotherapists: John Davin & Richard Merron","Managerial history","Paraphrase"
ObjectID(5527e700a21e5709f6e98058),"","College of Engineering is ranked as one of the top Graduate Schools of Engineering in the United States.","The university's","Texas Tech University","With 1,839 acres, it has the second largest contiguous campus in the United States and is the only school in Texas to house an undergraduate institution, law school, and medical school at the same location.","The Texas Tech Red Raiders are members of the Big 12 Conference and compete in Division I for all varsity sports.","Paraphrase"
